POSITION	Restricted Area-FGM	Restricted Area-FGA	Restricted Area-PCT_AST_FGM	In The Paint (Non-RA)-FGM	In The Paint (Non-RA)-FGA	In The Paint (Non-RA)-PCT_AST_FGM	Mid-Range-FGM	Mid-Range-FGA	Mid-Range-PCT_AST_FGM	Left Corner 3-FGM	Left Corner 3-FGA	Left Corner 3-PCT_AST_FGM	Right Corner 3-FGM	Right Corner 3-FGA	Right Corner 3-PCT_AST_FGM	Above the Break 3-FGM	Above the Break 3-FGA	Above the Break 3-PCT_AST_FGM
Center	413.0	571.0	0.676	122.0	302.0	0.598	19.0	75.0	0.684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Forward-Guard	233.0	389.0	0.455	61.0	177.0	0.377	151.0	394.0	0.384	4.0	15.0	1.0	6.0	19.0	0.667	61.0	177.0	0.77
Forward	256.0	383.0	0.664	140.0	289.0	0.457	397.0	896.0	0.736	0.0	0.0	0.0	0.0	0.0	0.0	11.0	42.0	0.818
Center-Forward	306.0	435.0	0.565	121.0	321.0	0.463	163.0	413.0	0.521	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	0.5
Forward-Center	231.0	380.0	0.459	111.0	269.0	0.423	68.0	211.0	0.515	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0
Forward	186.0	348.0	0.371	48.0	139.0	0.292	253.0	627.0	0.53	4.0	17.0	0.75	3.0	20.0	1.0	108.0	343.0	0.787
Forward-Center	251.0	467.0	0.614	21.0	107.0	0.571	42.0	166.0	0.667	0.0	1.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0
Guard	116.0	248.0	0.319	24.0	71.0	0.25	122.0	342.0	0.385	18.0	40.0	1.0	10.0	18.0	0.9	102.0	277.0	0.608
Center	247.0	341.0	0.623	127.0	319.0	0.63	161.0	363.0	0.584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Forward-Center	114.0	188.0	0.728	85.0	178.0	0.682	144.0	360.0	0.667	4.0	17.0	0.75	6.0	21.0	1.0	72.0	208.0	1.0
Guard-Forward	173.0	300.0	0.318	76.0	187.0	0.263	266.0	727.0	0.462	16.0	30.0	0.938	11.0	30.0	1.0	66.0	180.0	0.818
Guard	106.0	197.0	0.17	67.0	139.0	0.075	120.0	252.0	0.217	1.0	3.0	1.0	7.0	12.0	0.857	96.0	240.0	0.531
Forward	136.0	206.0	0.706	69.0	159.0	0.362	301.0	655.0	0.724	1.0	7.0	1.0	10.0	26.0	1.0	88.0	254.0	0.966
Guard	101.0	207.0	0.455	19.0	66.0	0.368	154.0	396.0	0.513	4.0	14.0	1.0	9.0	20.0	0.889	79.0	247.0	0.848
Guard	170.0	328.0	0.3	44.0	136.0	0.205	164.0	462.0	0.415	4.0	15.0	0.75	0.0	3.0	0.0	53.0	181.0	0.642
Forward-Center	231.0	380.0	0.459	111.0	269.0	0.423	68.0	211.0	0.515	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0
